"fdef_id","title","statement","status","evidence_ids","affected_requirement_ids","decision_needed","fec_dependency_profile","fec_facility_tags","notes"
"FDEF-001","Volatile vs non-deterministic separation","Function definitions shall model volatility and non-determinism as separate axes, not synonyms.","draft","ECS-037;ECS-039;ECS-059;EMP-0008","XLS-CF-FN-008;XLS-CF-VP-005","yes","none","","Need final taxonomy and examples policy."
"FDEF-002","Host interaction taxonomy","Function definitions shall declare host interaction dependency class (none/workbook/app/environment/external-provider).","draft","ECS-037;ECS-040;ECS-053;ECS-054;EMP-0006","XLS-CF-FN-007;XLS-CF-FN-010;XLS-CF-VP-003","yes","composite","cap_reference_resolution;cap_caller_context;cap_time_provider;cap_external_provider","Key for reproducible conformance replay."
"FDEF-003","Invalidation trigger declaration","Each function definition shall declare invalidation triggers (T-DEP,T-VOL,T-HOST,T-EXT,T-VERSION).","draft","ECS-037;EMP-0008","XLS-CF-FN-008;XLS-CF-VP-004;XLS-CF-VP-005","yes","composite","cap_reference_resolution;cap_time_provider;cap_external_provider;cap_feature_gate","Needed for reason-code and recalc semantic tests."
"FDEF-004","Aggregate coercion policy boundary","Aggregate function definitions shall distinguish direct-arg coercion from range-scan coercion policies.","provisional","EMP-0003;ECS-003;ECS-018;ECS-019","XLS-CF-TV-008;XLS-CF-TV-007","yes","ref_only","cap_reference_resolution","Blocked on function-policy decisions for aggregate family."
"FDEF-005","Argument-gap handling policy","Function-definition policy shall specify accepted/rejected/mapped behavior for missing-argument patterns.","provisional","EMP-0001;ECS-008","XLS-CF-FL-010","yes","locale_profile","cap_locale_parse_format","Current behavior is build-scoped provisional."
"FDEF-006","Dynamic-array function spill semantics","Function definitions for dynamic-array producers/transformers shall declare spill-shape and blocking expectations.","provisional","ECS-006;ECS-007;EMP-0010;EMP-0005;EMP-0004","XLS-CF-FL-005;XLS-CF-TB-004;XLS-CF-FM-005","yes","composite","cap_reference_resolution;cap_feature_gate","Links function semantics to table/CF spill mismatch lanes."
"FDEF-007","External reference and open-state policy","Function-policy and formula-policy interpretation shall include workbook-open/link-update state effects for external references.","provisional","EMP-0011;ECS-008;ECS-009","XLS-CF-FL-006","yes","composite","cap_reference_resolution;cap_feature_gate","Same-build baseline exists; cross-build convergence pending."
"FDEF-008","Merge/formula interaction follow-up","Function definitions interacting with merged ranges shall declare behavior expectations or explicit caveats.","draft","EMP-0012;ECS-031","XLS-CF-FM-003","yes","ref_only","cap_reference_resolution","New direct merge evidence now available; functional interactions not yet mapped."
"FDEF-009","Operator-as-function inventory","Evaluable operators shall be represented as pseudo-function rows (`OP_*`) in the function-definition lane.","draft","ECS-003;ECS-004;ECS-005;ECS-008","XLS-CF-FL-001;XLS-CF-FL-002;XLS-CF-FL-003;XLS-CF-FL-004","yes","ref_only","cap_reference_resolution","Includes reference operators and trim-reference family."
"FDEF-010","Parse delimiter separation","Parse-only delimiters (for example argument separators) shall be modeled as syntax-layer items, not evaluable function rows.","draft","ECS-008","XLS-CF-FL-006","yes","locale_profile","cap_locale_parse_format","Locale token profile retained in language concrete rules."
"FDEF-011","Pre-call argument coercion","Function definitions shall declare host-side argument coercion behavior before invocation.","draft","ECS-003;ECS-018;ECS-019;EMP-0003","XLS-CF-TV-007;XLS-CF-TV-008","yes","composite","cap_reference_resolution;cap_locale_parse_format","Key for non-interesting-function UDF parity hypothesis."
"FDEF-012","Post-call return adaptation","Function definitions shall declare host-side return adaptation behavior, including array-to-anchor adaptation boundaries.","draft","ECS-006;ECS-007;EMP-0010","XLS-CF-FL-005","yes","composite","cap_reference_resolution;cap_feature_gate","Spill projection details stay outside this doc."
"FDEF-013","Extended value boundary","Function/value model shall distinguish primary values from extended-value wrappers used at worksheet boundary.","draft","ECS-026;ECS-027;ECS-021;ECS-024;ECS-025","XLS-CF-TV-005;XLS-CF-FM-002","yes","composite","cap_error_detail_enrichment;cap_feature_gate","Includes formatting hints, rich error detail, virtual anchor-relative values."
"FDEF-014","XLL UDF registration and context","XLL UDF function definitions shall include registration signature, caller-context, volatility, and reference argument/return semantics.","draft","ECS-040","XLS-CF-FN-007;XLS-CF-FN-010","yes","composite","cap_reference_resolution;cap_caller_context;cap_external_provider","Source baseline now documented in ../../../Foundation/reference/conformance/excel-worksheet-engine/functions/XLL_SDK_REGISTRATION_AND_TYPES_REFERENCE.md; next step is extracting requirement-level rows."
"FDEF-015","VBA UDF semantics","VBA UDF definitions shall capture scope, argument/reference behavior, and mutation constraints during recalculation.","draft","ECS-035","XLS-CF-FN-007;XLS-CF-VP-003","yes","composite","cap_reference_resolution;cap_caller_context;cap_locale_parse_format","Open questions retained: Range return semantics and allowed side effects."
"FDEF-016","Automation Add-in UDF semantics","Automation Add-in UDF definitions shall capture COM registration and invocation semantics sufficient for compatibility classification.","draft","ECS-035","XLS-CF-FN-007;XLS-CF-VP-003","yes","composite","cap_reference_resolution;cap_external_provider;cap_locale_parse_format","Lower priority depth in this phase."
"FDEF-017","JavaScript custom function semantics","JavaScript custom function definitions shall include async/external behavior and extended data-type return implications.","draft","ECS-021;ECS-024","XLS-CF-FN-007;XLS-CF-TV-005","yes","composite","cap_external_provider;cap_feature_gate","Includes custom/linked data-type style returns."
"FDEF-018","Implicit intersection canonicalization","`@` shall be modeled as canonical operator-function with legacy alias metadata for `SINGLE`/`_xlfn.SINGLE` compatibility contexts.","provisional","ECS-004;ECS-008","XLS-CF-FL-003;XLS-CF-FL-007","yes","caller_context","cap_reference_resolution;cap_caller_context;cap_feature_gate","Need precise compatibility-version mapping."
"FDEF-019","Compatibility-version-scoped definitions","Function definitions shall support workbook-level compatibility-version scoping and explicit divergence metadata.","draft","ECS-034;ECS-035;ECS-036","XLS-CF-VP-001;XLS-CF-VP-002","yes","composite","cap_feature_gate","Axis required in conformance replay matrices."
