row_id,candidate_hash,candidate_description,killing_witness,date,evidence_ref
"G4-02-atanh","pre-dsl","x87 half-log-ratio 0.5*ln((1+x)/(1-x)) via worksheet-LN graph for the whole domain","expanded 368-case sweep: matched 297 but regressed 71 incl. catastrophic tiny-input collapse and near-boundary drift","2026-07-09","BUG-FUNC-027 C4 candidate-closure sweep"
"G4-03-acoth","pre-dsl","ACOTH published as Excel ATANH(1/x) (shared reciprocal-ATANH route)","decomposition probe: differs from live ACOTH by 4 ULP at x=5 and 2 ULP at x=10","2026-07-10","recon G4-03 / DISCREPANCY_CALCULATION_MAP.csv"
"G4-03-acoth","pre-dsl","ACOTH as either worksheet log identity 0.5*LN((x+1)/(x-1)) or 0.5*LN(1+2/(x-1))","decomposition probe: both worksheet identities differ from live ACOTH bits","2026-07-10","recon G4-03"
"G3-04-growth","pre-dsl","GROWTH as worksheet log-domain regression (SLOPE/INTERCEPT composition) followed by one final EXP","exact-geometric-data probe: live GROWTH differs from the worksheet decomposition and from direct EXP/LN/POWER graphs","2026-07-10","recon G3-04"
"G6-10-tbillyield","pre-dsl","left-associative ((100-p)/p*360)/days (former OxFunc path)","expanded closure sweep: 308 one-ULP failures out of 2156","2026-07-10","TBILLYIELD closure sweep (row closed_signed_off)"
"G6-11-xnpv","pre-dsl","per-term platform powf (1+rate)^years with forward f64 sum (former OxFunc path)","catalog witness 16 ULP; live Excel matches the per-term Excel-POWER decomposition instead","2026-07-10","recon G6-11 / DISCREPANCY_CALCULATION_MAP.csv"
"G6-11-xnpv","w109-round0","all platform-powf term variants; end-stored x87 extended accumulator","recon witnesses xnpv-catalog (16-32 ULP) / xnpv-two-flow (8 ULP for extended accumulator)","2026-07-11","smart-fuzzer/work/w109/G6-11-xnpv/eliminated.jsonl"
"G6-11-xnpv","w109-round1","fractional-only POWER staging (no integer-exponent binexp dispatch); (d-d0)*(1/365) years; reverse accumulation; value*POWER(base,-years) reciprocal staging","disc-rand-0021 (years=5.0 integer, 4 ULP) and disc-rand-0147/0538 (1-8 ULP) live rows","2026-07-11","W109_XNPV_IDENTIFICATION_20260711.md"
"G6-11-xnpv","w109-round2","strict (single-rounded) 1+rate; strict and extended-continuous value/pow; plain strict forward sum","constructed double-rounding-window probes adv-base-0 / adv-term-0 / adv-sum-0 (1-4 ULP)","2026-07-11","W109_XNPV_IDENTIFICATION_20260711.md"
"G6-08-nper","w109-round0","portable/platform ln for either log; FYL2XP1 or portable log1p denominator","recon witness nper-0000 (platform ln reproduces the old 1-ULP miss; log1p forms ~800-count off)","2026-07-11","W109_NPER_IDENTIFICATION_20260711.md"
