"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"W10S2-001","W10-S2","ready","formula_case","IF","A1:=IF(TRUE,1,1/0)","","calculate","A1","A1","Lazy true branch baseline","branch_selective","none","observed","primary_value2_eq:1","Non-selected branch error must be masked."
"W10S2-002","W10-S2","ready","formula_case","IF","A1:=IF(FALSE,1/0,2)","","calculate","A1","A1","Lazy false branch baseline","branch_selective","none","observed","primary_value2_eq:2","Non-selected branch error must be masked."
"W10S2-006","W10-S2","ready","formula_case","IF","A1:=IF(FALSE,1)","","calculate","A1","A1","Missing else default baseline","branch_selective","none","observed","primary_value2_eq:False","Built-in IF defaults the omitted false branch to logical FALSE in this lane."
"W10S2-003","W10-S2","ready","mixed_case","INDEX","A1:=1|A2:=2|A3:=3|B1:=INDEX(A1:A3,2)","","calculate","B1","A1|A2|A3|B1","Reference-index projection baseline","index_reference_projection","eval_time_deref","observed","primary_value2_eq:2","Reference-return/value-return distinction tracked in W10 side-notes."
"W10S2-004","W10-S2","ready","formula_case","MATCH","A1:=MATCH(2,{1,2,3},0)","","calculate","A1","A1","Exact match baseline","lookup_exact","none","observed","primary_value2_eq:2","Seed supports exact only."
"W10S2-005","W10-S2","ready","formula_case","MATCH","A1:=MATCH(2,{1,2,3},1)","","calculate","A1","A1","Approximate match_mode=1 baseline","lookup_mode_approx_larger","none","observed","primary_value2_eq:2","Observed Excel lane for sorted ascending input."
"W10S2-007","W10-S2","ready","formula_case","MATCH","A1:=MATCH(2,{1,2,2,2,3},1)","","calculate","A1","A1","Approximate ascending duplicate selection","lookup_mode_approx_duplicates","none","observed","primary_value2_eq:4","Built-in MATCH type 1 returns the last duplicate."
"W10S2-008","W10-S2","ready","formula_case","MATCH","A1:=MATCH(2,{3,2,2,2,1},-1)","","calculate","A1","A1","Approximate descending duplicate selection","lookup_mode_desc_duplicates","none","observed","primary_value2_eq:2","Built-in MATCH type -1 returns the first duplicate."
"W10S2-009","W10-S2","ready","formula_case","MATCH","A1:=MATCH(""a~*"",{""abc"",""a*""},0)","","calculate","A1","A1","Wildcard escape handling in exact mode","lookup_wildcard_escape","none","observed","primary_value2_eq:2","Escaped wildcard patterns still use MATCH wildcard semantics."
"W10S2-010","W10-S2","ready","mixed_case","MATCH","A1:=MATCH(B1,C1:C2,0)","B1:=empty|C1:=empty|C2:=1","calculate","A1","A1|B1|C1|C2","Blank lookup value is not treated as empty string","lookup_blank_lookup","none","observed","primary_text_eq:#N/A","MATCH blank lookup values do not match true blank cells."
"W10S2-011","W10-S2","ready","formula_case","MATCH","A1:=MATCH(2.5,{3,1,4,2},1)","","calculate","A1","A1","Approximate ascending unsorted empirical lane","lookup_approx_unsorted","none","observed","primary_value2_eq:2","Built-in MATCH returns this empirically observed invalid-result lane on unsorted input."
"W10S2-012","W10-S2","ready","formula_case","MATCH","A1:=MATCH(2.5,{1,3,2,4},1)","","calculate","A1","A1","Approximate ascending unsorted alternate empirical lane","lookup_approx_unsorted_alt","none","observed","primary_value2_eq:1","Additional unsorted MATCH type 1 lane used to pin Excel's invalid-result behavior."
"W10S2-013","W10-S2","ready","formula_case","MATCH","A1:=MATCH(2.5,{3,1,4,2},-1)","","calculate","A1","A1","Approximate descending unsorted empirical lane","lookup_desc_unsorted","none","observed","primary_value2_eq:1","Additional unsorted MATCH type -1 lane used to pin Excel's invalid-result behavior."
